date,2025-12-25
unique_moving_vehicles,147
frames,1052
avg_moving_per_frame,2.0570342205323193
avg_stopped_per_frame,3.3659695817490496

track_id,stopped_seconds
1,35.033
5,33.767
4,16.167
539,9.433
193,2.767
3,2.3
900,2.133
574,1.933
130,1.667
256,1.3
536,1.133
671,0.9
289,0.8
396,0.767
265,0.633
420,0.633
103,0.6
120,0.5
236,0.467
296,0.467
743,0.433
870,0.433
276,0.4
310,0.4
540,0.4
597,0.3
354,0.233
403,0.233
455,0.233
206,0.2
401,0.2
582,0.167
588,0.167
675,0.133
916,0.133
625,0.1
106,0.033
126,0.033
160,0.033
178,0.033
260,0.033
278,0.033
304,0.033
331,0.033
398,0.033
463,0.033
486,0.033
704,0.033
788,0.033
797,0.033
